codigo;acao;tipo;qtd_teorica;part
QUAL3;QUALICORP;ON      NM;283.670.037;0,195
LJQQ3;QUERO-QUERO;ON      NM;179.176.919;0,081
RADL3;RAIADROGASIL;ON  EDJ NM;1.071.076.905;1,063
RAPT4;RANDON PART;PN      N1;177.628.801;0,083
RCSL3;RECRUSUL;ON;25.408.950;0,004
RCSL4;RECRUSUL;PN;50.414.424;0,003
RDOR3;REDE D OR;ON      NM;929.901.433;1,93
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;0,905
SBSP3;SABESP;ON      NM;340.001.934;0,543
SAPR4;SANEPAR;PN      N2;203.163.265;0,033
SAPR11;SANEPAR;UNT     N2;201.076.373;0,159
SANB11;SANTANDER BR;UNT;362.703.399;0,479
STBP3;SANTOS BRP;ON      NM;857.821.689;0,244
SMTO3;SAO MARTINHO;ON      NM;142.845.106;0,213
SHUL4;SCHULZ;PN;87.012.162;0,032
SEQL3;SEQUOIA LOG;ON      NM;78.010.759;0,044
SEER3;SER EDUCA;ON      NM;54.338.507;0,026
CSNA3;SID NACIONAL;ON;642.398.790;0,647
SIMH3;SIMPAR;ON      NM;225.252.808;0,114
SQIA3;SINQIA;ON      NM;77.049.738;0,056
SLCE3;SLC AGRICOLA;ON      NM;89.042.697;0,142
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,313
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,757
SYNE3;SYN PROP TEC;ON      NM;59.660.124;0,036
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,321
TASA4;TAURUS ARMAS;PN      N2;62.034.762;0,062
TECN3;TECHNOS;ON      NM;63.500.478;0,006
TCSA3;TECNISA;ON      NM;52.380.706;0,009
TGMA3;TEGMA;ON      NM;32.001.480;0,022
VIVT3;TELEF BRASIL;ON;443.933.052;0,901
TEND3;TENDA;ON      NM;96.139.516;0,073
TIMS3;TIM;ON      NM;808.619.532;0,442
SHOW3;TIME FOR FUN;ON      NM;34.484.939;0,006
TOTS3;TOTVS;ON      NM;520.230.677;0,695
TRPL4;TRAN PAULIST;PN      N1;395.797.044;0,396
TRIS3;TRISUL;ON      NM;83.225.626;0,02
TPIS3;TRIUNFO PART;ON      NM;74.237.233;0,006
TUPY3;TUPY;ON      NM;67.547.494;0,06
UGPA3;ULTRAPAR;ON      NM;1.084.337.016;0,685
UNIP6;UNIPAR;PNB;44.861.678;0,181
USIM3;USIMINAS;ON      N1;161.021.803;0,096
USIM5;USIMINAS;PNA     N1;514.680.651;0,323
VALE3;VALE;ON      NM;5.119.956.209;16,004
VLID3;VALID;ON      NM;78.269.230;0,029
VAMO3;VAMOS;ON  EDJ NM;266.313.930;0,144
VIIA3;VIA;ON      NM;1.595.895.585;0,361
VBBR3;VIBRA;ON      NM;1.164.602.565;1,1
VIVA3;VIVARA S.A.;ON      NM;99.446.859;0,106
VULC3;VULCABRAS;ON      NM;73.766.391;0,031
WEGE3;WEG;ON      NM;1.484.859.030;2,197
WEST3;WESTWING;ON      NM;108.526.910;0,017
WIZS3;WIZ S.A.;ON      NM;77.540.728;0,028
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,298
