,ticker,stop_loss,retornoStopLoss,stop_gain,retornoStopGain,retornoPrevisto,retornoEsperado
27,OUFF11.SA,55.54064552023515,-0.14801896855034002,76.1738970104782,0.16849047641844228,-0.01837612992695503,0.0013805423412069917
81,BBPO11.SA,79.08172992868903,-0.07722598897582467,92.74585612421595,0.08221539587952442,0.057823633670651464,3.560977734906601e-08
92,XPHT11.SA,75.68075051080191,-0.17442181714322336,110.25252242853404,0.20271107920545206,0.01742068779700867,0.0004363677523038234
29,PATC11.SA,53.951238526327764,-0.13953368628637852,72.48674572681065,0.15608843452607934,-0.06330062430152139,0.0015948841442383621
53,CTXT11.SA,16.56188643640597,-0.14098102455578576,22.24073146486727,0.15356486891997578,-0.17526530232112958,0.0005186365663056858
71,VINO11.SA,48.51531170114266,-0.16367327866076042,68.7833752071126,0.18571586273568874,0.012429259872938303,0.0006895652408931419
155,ONEF11.SA,124.11884891210786,-0.14400793853718719,168.600713386009,0.16276354059316556,-0.012604706486410655,0.0005517241379311422
141,HCTR11.SA,103.30574438761275,-0.1354444201648446,137.46632405672528,0.15044209987726798,-0.1904860881061452,0.0005021519566756893
138,AFCR11.SA,89.7664504273639,-0.12678552760189865,117.06580603740639,0.13877239846448264,-0.015300042271242376,0.0005836278838629028
75,BREV11.SA,77.95278453637997,-0.1794443733012635,114.32007055107405,0.2033691636955164,-0.10610682711301023,0.0007368421052631469
94,VCJR11.SA,82.10402857803018,-0.15339218667741827,113.16076738074746,0.16684639579007632,-0.0393829272846451,0.0009279917503732804
97,GGRC11.SA,97.51105135181606,-0.10622316484315963,121.73778996300032,0.11583677053741637,-0.006995231277745706,0.000641627193931793
10,NEWU11.SA,28.55119097220572,-0.17624953554818046,41.53844168338168,0.1984547566719954,-0.06085259118880004,0.0008655554737437843
152,VLOL11.SA,84.41377959432694,-0.14724940482878324,114.56973402613099,0.15738697341727748,-0.05796831771026445,0.0003030825020498007
139,NSLU11.SA,197.850967909321,-0.08824438751464969,237.63451986775868,0.0950899533076437,0.006819492478837841,0.0011520737327188613
22,SARE11.SA,59.31498530998644,-0.16457767169033188,84.05864844266094,0.183924625952971,-0.06297180746977493,0.0007042253521125641
93,VTLT11.SA,80.8584774212993,-0.11436500855908216,102.65556750338364,0.12437638633142623,-0.00656902216955213,0.0004380826605177024
37,RVBI11.SA,62.677084320698064,-0.1547257851529067,86.85972307685444,0.1714055467219342,-0.03764614951536527,0.0006742882412975604
17,BRCO11.SA,79.98570356077263,-0.12315607881597768,103.55944802149936,0.13527128519699794,0.03195835903617006,0.000328861860287466
36,RBED11.SA,107.52585472780109,-0.10395121060165757,133.66452143277337,0.11387101193977811,0.03482114186479346,0.0002500000000000835
153,HGPO11.SA,198.82374293382006,-0.11036852634601813,250.14219958161527,0.11925452339418574,-0.04952968448290729,0.001387062057436994
108,VGIR11.SA,84.76503667432343,-0.13672436534558619,113.10086778020111,0.1518572661986921,0.003004644465840478,0.0004073485853879344
122,KNHY11.SA,93.7004831101741,-0.10931097121348565,117.76751043394556,0.11946305941326707,-0.014135019156254702,0.0003802571570177271
109,BCRI11.SA,95.93945965628181,-0.09491075795960557,116.90720066607213,0.10289811949124639,-0.0032743125469189005,0.0005660377358491786
42,HLOG11.SA,87.88013728879854,-0.12548373811357527,114.29391783387419,0.13736610870285926,-0.027670344745910014,0.0007961203894035762
105,MCCI11.SA,88.21968354139251,-0.12079243809899576,113.67739856950732,0.13292209207087824,-0.010498631990102592,0.0003986811198861684
132,BARI11.SA,94.9021134723563,-0.06619978316328645,108.59187808023545,0.06850222390007343,-0.003208077704552559,2.7025308435568718e-08
126,JRDM11.SA,78.91530197756684,-0.07376402811954574,91.95722840017565,0.0793102311498719,0.004334443799153931,0.0003521485074235997
25,XPSF11.SA,64.33032452190469,-0.13650571111537335,85.66047605422523,0.14980504770772107,-0.04261884999267107,0.0001342281879195273
96,KNIP11.SA,94.79912809887875,-0.06785515296402089,108.90191053789161,0.07081527832606205,4.281407222883615e-05,9.835842731531486e-05
133,BCFF11.SA,77.32455045593022,-0.02009191652009068,80.55771720667356,0.020880920898440847,0.0001599689790905412,0.000126680236050003
51,NEWL11.SA,83.0285523804587,-0.13502912565646585,110.12657079857831,0.1472713121097431,-0.022660115304771078,2.2254719400649492e-08
63,XPML11.SA,87.99130874513943,-0.08580458446608374,104.99004853926508,0.09080569910924763,-0.001897031878890898,0.00010389610389616166
70,CNES11.SA,85.26548726477601,-0.10038522512198167,105.00686436973716,0.10790109434643891,0.01962052719585783,0.00021102786411408836
12,VIFI11.SA,66.12066487586884,-0.1076833166337916,82.4350003262507,0.11248315821545596,-0.0480535018138285,2.0592158422871876e-08
101,FEXC11.SA,106.19999694824219,0.0,106.19999694824219,0.0,-0.36883185006048735,2.873595006391838e-08
