,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,APTO11,Híbrido,"R$ 10,10",280.0,"R$ 0,03","0,30%",,,,,,,,,,,"R$ 39.476.292,41","R$ 9,84",1.03,,,,,,,0
1,FIVN11,Shoppings,"R$ 2,40",73070.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 65.805.766,28","R$ 6,99",0.34,,,,,"56,00%",,1
2,BZLI11,Títulos e Val. Mob.,"R$ 14,70",440410.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.739.853,66","R$ 10,89",1.35,,,,,,,0
3,XTED11,Lajes Corporativas,"R$ 6,27",1640.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.341.371,70","R$ 14,12",0.44,,,,,"0,00%","100,00%",1
4,ALMI11,Lajes Corporativas,"R$ 1.002,48",1820.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.264.016,46","R$ 2.251,04",0.45,,,,,"68,15%",,1
5,PABY11,Híbrido,"R$ 9,20",320.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -8.246.025,21","R$ -10,87",-0.85,,,,,,,1
6,ORPD11,Títulos e Val. Mob.,"R$ 128,79",10.0,"R$ 1,38",,,,,,,,,,,,"R$ 44.218.407,47","R$ 152,48",0.84,,,,,,,0
7,RBLG11,Logística,"R$ 88,75",10.0,"R$ 0,80","0,91%","2,64%","4,60%","0,00%","0,88%","0,77%","0,00%","5,99%","0,89%","1,81%","-14,15%","R$ 66.825.500,17","R$ 104,38",0.85,,,,,"0,00%",,1
8,QAGR11,Outros,"R$ 50,80",97650.0,"R$ 0,39","0,77%","2,31%","4,53%","8,80%","0,77%","0,76%","0,73%","8,31%","3,02%","3,81%","0,70%","R$ 301.164.497,72","R$ 59,75",0.85,,,,,,,12
9,GGRC11,Logística,"R$ 115,81",68400.0,"R$ 0,82","0,72%","2,18%","4,24%","7,76%","0,73%","0,71%","0,65%","7,76%","7,83%","8,60%","-12,39%","R$ 1.023.742.704,72","R$ 131,95",0.88,,,,,"0,00%","0,00%",15
10,CXRI11,Híbrido,"R$ 68,15",7390.0,"R$ 0,55","0,80%","2,10%","3,94%","7,27%","0,70%","0,66%","0,61%","7,27%","0,59%","1,40%","-35,12%","R$ 138.937.265,23","R$ 88,17",0.77,,,,,,,0
11,CRFF11,Títulos e Val. Mob.,"R$ 66,46",950.0,"R$ 0,51","0,75%","1,92%","3,62%","7,14%","0,64%","0,60%","0,60%","7,14%","1,37%","2,13%","-11,62%","R$ 61.069.208,29","R$ 88,50",0.75,,,,,,,0
12,FATN11,Híbrido,"R$ 101,98",6270.0,"R$ 0,79","0,80%","2,22%","4,28%","8,19%","0,74%","0,71%","0,68%","8,19%","-4,41%","-3,64%","6,71%","R$ 82.067.157,50","R$ 101,18",1.01,,,,,"0,00%",,7
13,BIME11,,"R$ 9,31",210440.0,"R$ 0,10","1,05%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,05%","0,00%","1,05%","1,05%","R$ 55.918.188,04","R$ 9,57",0.97,,,,,,,0
14,SCPF11,Shoppings,"R$ 7,68",2480.0,"R$ 0,03","0,39%","0,74%","1,45%","3,03%","0,25%","0,24%","0,25%","2,19%","0,00%","0,39%","-17,29%","R$ 52.548.899,51","R$ 12,51",0.61,,,,,"27,90%",,1
15,FISC11,Lajes Corporativas,"R$ 165,00",2000.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 251.458.437,24","R$ 153,06",1.08,,,,,,,0
16,FLMA11,Híbrido,"R$ 116,75",2620.0,"R$ 0,80","0,66%","1,51%","2,75%","4,84%","0,50%","0,46%","0,40%","4,84%","-2,31%","-1,66%","4.110,92%","R$ 216.308.774,34","R$ 156,67",0.75,,,,,"11,00%",,2
17,BREV11,Híbrido,"R$ 95,49",40.0,"R$ 0,54","0,57%","1,68%","3,19%","5,88%","0,56%","0,53%","0,49%","5,88%","1,43%","2,01%","-11,89%","R$ 106.233.108,69","R$ 109,84",0.87,,,,,"0,00%",,12
18,BLMR11,Títulos e Val. Mob.,"R$ 7,60",796120.0,"R$ 0,08","1,05%","2,80%","5,32%","0,00%","0,93%","0,89%","0,00%","8,77%","5,79%","6,89%","-90,82%","R$ 220.597.474,78","R$ 8,64",0.88,,,,,,,0
19,ONEF11,Lajes Corporativas,"R$ 141,78",730.0,"R$ 0,86","0,63%","1,68%","3,20%","5,96%","0,56%","0,53%","0,50%","0,63%","0,00%","0,63%","0,63%","R$ 159.164.173,48","R$ 174,71",0.81,,,,,"0,00%",,1
20,RCRB11,Lajes Corporativas,"R$ 131,45",36040.0,"R$ 0,55","0,42%","1,76%","3,59%","6,65%","0,59%","0,60%","0,55%","0,42%","0,00%","0,42%","0,42%","R$ 726.184.354,90","R$ 196,76",0.67,,,,,"14,40%",,10
21,MBRF11,Outros,"R$ 690,00",580.0,"R$ 9,50","1,19%","3,72%","6,42%","11,31%","1,24%","1,07%","0,94%","1,19%","0,00%","1,19%","1,19%","R$ 113.428.869,55","R$ 1.115,72",0.62,,,,,"0,00%",,2
22,VSLH11,Outros,"R$ 9,61",2062960.0,"R$ 0,12","1,23%","3,75%","8,10%","0,00%","1,25%","1,35%","0,00%","13,32%","-1,51%","-0,30%","11,74%","R$ 294.618.792,24","R$ 9,87",0.97,,,,,,,0
23,HCTR11,Outros,"R$ 124,84",554690.0,"R$ 1,60","1,26%","3,88%","7,59%","15,70%","1,29%","1,27%","1,31%","15,70%","4,12%","5,44%","-4,54%","R$ 2.387.196.759,76","R$ 117,52",1.06,,,,,,,0
24,DEVA11,Títulos e Val. Mob.,"R$ 102,00",677750.0,"R$ 1,35","1,31%","4,09%","7,97%","15,00%","1,36%","1,33%","1,25%","15,00%","2,65%","4,00%","-16,99%","R$ 1.347.212.876,56","R$ 96,88",1.05,,,,,,,0
25,FAED11,Outros,"R$ 144,99",2660.0,"R$ 1,22","0,83%","2,44%","4,69%","8,89%","0,81%","0,78%","0,74%","8,89%","-0,47%","0,36%","-18,57%","R$ 138.835.182,09","R$ 216,20",0.67,,,,,"0,00%",,3
26,MAXR11,Outros,"R$ 84,03",58360.0,"R$ 0,70","0,85%","2,41%","5,73%","9,12%","0,80%","0,96%","0,76%","8,50%","-0,59%","0,26%","-95,25%","R$ 135.304.378,59","R$ 120,20",0.7,,,,,"2,80%",,8
27,JRDM11,Shoppings,"R$ 67,03",13610.0,"R$ 0,52","0,75%","2,12%","2,88%","4,92%","0,71%","0,48%","0,41%","4,24%","14,17%","15,03%","13,34%","R$ 220.426.046,66","R$ 87,37",0.77,,,,,"2,95%",,1
28,BRCR11,Híbrido,"R$ 70,50",182300.0,"R$ 0,50","0,70%","2,13%","3,97%","7,29%","0,71%","0,66%","0,61%","6,74%","3,05%","3,77%","-10,28%","R$ 2.820.482.616,00","R$ 105,88",0.67,,,,,"23,00%","14,40%",14
29,EQIN11,Títulos e Val. Mob.,"R$ 92,00",109450.0,"R$ 0,93","1,00%","3,50%","6,33%","11,67%","1,17%","1,05%","0,97%","11,67%","0,94%","1,95%","-0,91%","R$ 139.997.733,91","R$ 96,35",0.95,,,,,,,0
30,FEXC11,Títulos e Val. Mob.,"R$ 86,86",184150.0,"R$ 0,93","1,05%","3,10%","5,54%","10,72%","1,03%","0,92%","0,89%","10,72%","6,98%","8,10%","4,76%","R$ 571.393.942,82","R$ 93,62",0.93,,,,,,,0
31,BTCR11,Títulos e Val. Mob.,"R$ 92,09",21760.0,"R$ 0,91","0,98%","2,83%","5,24%","9,48%","0,94%","0,87%","0,79%","9,48%","2,06%","3,06%","14,61%","R$ 472.571.529,91","R$ 98,25",0.94,,,,,,,0
32,BMLC11,Lajes Corporativas,"R$ 93,00",10090.0,"R$ 0,94","1,04%","2,50%","4,39%","7,96%","0,83%","0,73%","0,66%","7,96%","2,27%","3,34%","2,04%","R$ 109.109.578,30","R$ 109,28",0.85,,,,,"0,00%",,2
33,TORD11,Outros,"R$ 9,61",727080.0,"R$ 0,08","0,83%","2,41%","5,93%","11,26%","0,80%","0,99%","0,94%","11,26%","-1,22%","-0,41%","-9,70%","R$ 452.337.268,81","R$ 12,90",0.74,,,,,,,0
34,SEQR11,Outros,"R$ 76,75",34650.0,"R$ 0,63","0,83%","2,48%","5,04%","0,00%","0,83%","0,84%","0,00%","8,15%","4,85%","5,72%","-10,95%","R$ 154.396.953,32","R$ 95,99",0.8,,,,,"0,00%",,0
35,BCFF11,Títulos e Val. Mob.,"R$ 73,61",437500.0,"R$ 0,54","0,77%","2,22%","4,22%","7,82%","0,74%","0,70%","0,65%","7,82%","-0,44%","0,33%","-17,84%","R$ 1.990.777.058,59","R$ 79,04",0.93,,,,,,,0
36,BLMG11,Logística,"R$ 92,88",91720.0,"R$ 0,90","0,96%","2,86%","5,62%","0,00%","0,95%","0,94%","0,00%","9,70%","-1,40%","-0,45%","-1,95%","R$ 361.286.958,60","R$ 94,81",0.98,,,,,"0,00%","0,00%",4
37,DVFF11,Híbrido,"R$ 93,11",40.0,"R$ 0,70","0,73%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,59%","13,90%","14,74%","18,30%","R$ 103.014.517,94","R$ 93,57",1.0,,,,,,,0
38,CEOC11,Lajes Corporativas,"R$ 57,86",11050.0,"R$ 0,43","0,73%","2,36%","4,49%","8,37%","0,79%","0,75%","0,70%","8,37%","4,70%","5,46%","-10,90%","R$ 164.239.530,65","R$ 90,46",0.64,,,,,"0,00%",,1
39,MGFF11,Títulos e Val. Mob.,"R$ 64,81",138370.0,"R$ 0,56","0,85%","2,41%","4,58%","8,89%","0,80%","0,76%","0,74%","8,89%","2,86%","3,73%","-17,37%","R$ 713.300.572,99","R$ 78,81",0.82,,,,,,,0
40,RBRL11,Logística,"R$ 92,91",48860.0,"R$ 0,85","0,91%","2,67%","4,76%","8,45%","0,89%","0,79%","0,70%","8,45%","6,30%","7,27%","-5,80%","R$ 718.503.950,56","R$ 107,45",0.86,,,,,"0,00%","0,00%",6
41,RBRP11,Outros,"R$ 71,23",172950.0,"R$ 0,46","0,65%","1,93%","3,63%","6,41%","0,64%","0,60%","0,53%","6,41%","-5,03%","-4,41%","-22,85%","R$ 1.024.046.383,21","R$ 84,08",0.85,,,,,"10,00%","5,00%",17
42,FLCR11,Títulos e Val. Mob.,"R$ 101,99",17130.0,"R$ 1,77","1,73%","4,67%","8,03%","0,00%","1,56%","1,34%","0,00%","8,03%","0,72%","2,46%","10,33%","R$ 50.185.828,63","R$ 100,37",1.02,,,,,,,0
43,RECT11,Híbrido,"R$ 69,89",102200.0,"R$ 0,54","0,75%","2,37%","4,32%","8,84%","0,79%","0,72%","0,74%","8,84%","6,37%","7,17%","-17,99%","R$ 800.756.132,40","R$ 97,90",0.71,,,,,"16,60%",,8
44,RELG11,Híbrido,"R$ 80,52",28830.0,"R$ 0,81","1,00%","3,16%","5,73%","10,17%","1,05%","0,96%","0,85%","10,17%","10,88%","12,00%","-8,82%","R$ 162.778.565,46","R$ 121,97",0.66,,,,,"11,30%","11,30%",3
45,RECR11,Títulos e Val. Mob.,"R$ 103,27",446400.0,"R$ 1,46","1,44%","3,72%","6,86%","13,25%","1,24%","1,14%","1,10%","13,25%","2,83%","4,31%","3,31%","R$ 2.311.895.011,83","R$ 95,30",1.08,,,,,,,0
46,GTLG11,,"R$ 98,00",125500.0,"R$ 0,70","0,70%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,40%","-0,48%","0,22%","0,92%","R$ 707.276.465,63","R$ 98,60",0.99,,,,,,,0
47,BLCA11,Lajes Corporativas,"R$ 100,00",50.0,"R$ 0,53","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 158.358.513,15","R$ 98,97",1.01,,,,,"0,00%",,1
48,CPFF11,Híbrido,"R$ 71,78",167800.0,"R$ 0,61","0,87%","2,23%","5,01%","10,75%","0,74%","0,83%","0,90%","10,75%","-0,74%","0,13%","-8,28%","R$ 432.234.278,18","R$ 79,31",0.91,,,,,,,0
49,RVBI11,Títulos e Val. Mob.,"R$ 79,48",28070.0,"R$ 0,75","0,90%","2,80%","5,31%","9,92%","0,93%","0,89%","0,83%","9,92%","1,50%","2,41%","-4,29%","R$ 127.581.764,58","R$ 88,60",0.9,,,,,,,0
50,CVBI11,Títulos e Val. Mob.,"R$ 102,90",300440.0,"R$ 1,12","1,09%","3,31%","6,31%","12,24%","1,10%","1,05%","1,02%","12,24%","1,58%","2,69%","6,90%","R$ 1.051.732.082,10","R$ 100,01",1.03,,,,,,,0
51,GAME11,Híbrido,"R$ 109,99",150.0,"R$ 1,08","1,04%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,04%","0,00%","1,04%","1,04%","R$ 205.123.675,99","R$ 99,57",1.1,,,,,,,0
52,IBFF11,Títulos e Val. Mob.,"R$ 61,47",22530.0,"R$ 0,50","0,84%","2,58%","5,14%","8,42%","0,86%","0,86%","0,70%","8,42%","0,35%","1,19%","-17,65%","R$ 50.937.396,97","R$ 76,40",0.8,,,,,,,0
53,IBCR11,Títulos e Val. Mob.,"R$ 96,21",27290.0,"R$ 1,50","1,55%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,72%","1,45%","3,02%","8,38%","R$ 79.447.521,22","R$ 98,95",0.97,,,,,,,0
54,IRDM11,Títulos e Val. Mob.,"R$ 108,42",681900.0,"R$ 1,43","1,32%","3,67%","6,55%","11,72%","1,22%","1,09%","0,98%","11,72%","3,84%","5,21%","-17,06%","R$ 3.240.393.426,43","R$ 98,06",1.11,,,,,,,0
55,RBRR11,Títulos e Val. Mob.,"R$ 100,05",251350.0,"R$ 1,07","1,08%","2,93%","5,46%","9,87%","0,98%","0,91%","0,82%","9,87%","1,84%","2,94%","13,79%","R$ 1.043.340.841,05","R$ 100,69",0.99,,,,,,,0
56,RBRY11,Títulos e Val. Mob.,"R$ 104,82",151250.0,"R$ 1,34","1,28%","3,34%","5,71%","10,23%","1,11%","0,95%","0,85%","10,23%","1,88%","3,18%","8,90%","R$ 354.981.935,25","R$ 104,49",1.0,,,,,,,0
57,IRIM11,Híbrido,"R$ 113,00",3870.0,"R$ 1,50","1,33%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","3,83%","0,36%","1,69%","3,88%","R$ 132.147.323,49","R$ 101,65",1.11,,,,,,,0
58,RBRF11,Títulos e Val. Mob.,"R$ 72,17",295430.0,"R$ 0,61","0,81%","2,50%","4,77%","8,74%","0,83%","0,80%","0,73%","8,74%","4,31%","5,16%","-18,09%","R$ 1.194.884.791,18","R$ 87,34",0.83,,,,,,,0
59,CPTS11,Títulos e Val. Mob.,"R$ 96,94",806330.0,"R$ 1,10","1,12%","3,17%","6,20%","12,26%","1,06%","1,03%","1,02%","12,26%","0,02%","1,14%","7,32%","R$ 2.646.336.850,54","R$ 94,60",1.02,,,,,,,0
60,ATSA11,Shoppings,"R$ 94,00",150.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 155.087.136,20","R$ 88,56",1.06,,,,,"21,10%",,1
61,VGIP11,Outros,"R$ 100,35",334240.0,"R$ 1,65","1,60%","4,45%","7,83%","13,44%","1,48%","1,31%","1,12%","13,44%","5,36%","7,04%","3,12%","R$ 893.160.931,17","R$ 96,10",1.04,,,,,,,0
62,MCHF11,Títulos e Val. Mob.,"R$ 9,99",285610.0,"R$ 0,12","1,19%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","3,36%","-0,20%","0,99%","2,08%","R$ 90.855.755,84","R$ 10,94",0.91,,,,,,,0
63,VGIR11,Títulos e Val. Mob.,"R$ 99,45",59390.0,"R$ 0,92","0,92%","2,43%","4,49%","7,84%","0,81%","0,75%","0,65%","7,84%","2,96%","3,91%","22,43%","R$ 441.178.250,99","R$ 97,90",1.02,,,,,,,0
64,MCCI11,Títulos e Val. Mob.,"R$ 101,87",361510.0,"R$ 1,00","0,97%","2,95%","5,89%","10,45%","0,98%","0,98%","0,87%","10,45%","1,14%","2,12%","11,07%","R$ 1.215.907.590,31","R$ 97,92",1.04,,,,,,,0
65,MGHT11,Hotel,"R$ 88,25",12380.0,"R$ 0,80","0,89%","2,72%","4,72%","8,83%","0,91%","0,79%","0,74%","8,83%","6,67%","7,62%","-2,17%","R$ 131.018.947,00","R$ 99,73",0.88,,,,,,,0
66,GCRI11,Títulos e Val. Mob.,"R$ 98,05",30140.0,"R$ 1,38","1,39%","3,57%","6,63%","0,00%","1,19%","1,11%","0,00%","9,52%","1,02%","2,42%","6,98%","R$ 100.208.755,09","R$ 100,18",0.98,,,,,,,0
67,MORE11,Títulos e Val. Mob.,"R$ 76,10",179560.0,"R$ 0,70","0,92%","2,66%","5,21%","8,89%","0,89%","0,87%","0,74%","8,89%","5,42%","6,39%","-24,92%","R$ 211.406.854,86","R$ 91,16",0.83,,,,,,,0
68,NAVT11,Títulos e Val. Mob.,"R$ 74,50",37960.0,"R$ 0,60","0,80%","2,47%","4,86%","0,00%","0,82%","0,81%","0,00%","5,92%","4,15%","4,99%","-13,35%","R$ 97.435.373,81","R$ 92,40",0.81,,,,,,,0
69,BRLA11,Híbrido,"R$ 150,00",10.0,"R$ 0,99","0,71%","2,02%","2,02%","2,02%","0,67%","0,34%","0,17%","2,02%","-4,08%","-3,41%","-3,45%","R$ 259.860.568,90","R$ 160,35",0.94,,,,,,,0
70,MGCR11,Títulos e Val. Mob.,"R$ 87,32",19150.0,"R$ 1,00","1,14%","3,21%","5,86%","10,87%","1,07%","0,98%","0,91%","10,87%","3,61%","4,79%","2,01%","R$ 137.327.919,11","R$ 96,55",0.9,,,,,,,0
71,TRNT11,Lajes Corporativas,"R$ 109,35",2070.0,"R$ 0,60","0,55%","1,21%","1,91%","3,72%","0,40%","0,32%","0,31%","3,72%","9,96%","10,56%","-26,64%","R$ 796.881.453,61","R$ 202,48",0.54,,,,,"50,90%",,1
72,BLCP11,Outros,"R$ 82,23",650.0,"R$ 0,52","0,62%","1,33%","3,02%","6,84%","0,44%","0,50%","0,57%","6,84%","9,80%","10,48%","-13,67%","R$ 225.883.475,41","R$ 98,37",0.84,,,,,"7,90%",,2
73,GCFF11,Títulos e Val. Mob.,"R$ 78,49",18560.0,"R$ 0,79","1,04%","2,90%","5,45%","10,81%","0,97%","0,91%","0,90%","10,81%","3,26%","4,34%","-9,97%","R$ 30.939.254,59","R$ 91,37",0.86,,,,,,,0
74,ARCT11,Híbrido,"R$ 107,33",82400.0,"R$ 1,70","1,58%","4,69%","7,52%","16,32%","1,56%","1,25%","1,36%","16,32%","5,37%","7,03%","-8,66%","R$ 252.891.029,37","R$ 100,79",1.06,,,,,,,4
75,RZAK11,Títulos e Val. Mob.,"R$ 93,50",291080.0,"R$ 1,32","1,39%","3,87%","6,18%","9,73%","1,29%","1,03%","0,81%","9,73%","13,23%","14,81%","4,75%","R$ 283.956.920,58","R$ 94,60",0.99,,,,,,,0
76,AFHI11,Títulos e Val. Mob.,"R$ 100,48",36730.0,"R$ 1,30","1,28%","3,78%","6,88%","0,00%","1,26%","1,15%","0,00%","8,45%","3,35%","4,68%","15,29%","R$ 175.960.340,60","R$ 98,43",1.02,,,,,,,0
77,OULG11,Outros,"R$ 49,33",51680.0,"R$ 0,50","0,94%","2,83%","5,15%","9,30%","0,94%","0,86%","0,78%","9,30%","2,52%","3,49%","-24,56%","R$ 183.176.183,14","R$ 73,82",0.67,,,,,"0,00%",,2
78,OUFF11,Títulos e Val. Mob.,"R$ 67,52",35550.0,"R$ 0,67","0,94%","2,83%","5,53%","10,12%","0,94%","0,92%","0,84%","10,12%","-1,38%","-0,45%","-9,28%","R$ 147.821.445,27","R$ 81,47",0.83,,,,,,,0
79,OURE11,Títulos e Val. Mob.,"R$ 85,99",21560.0,"R$ 1,16","1,33%","3,87%","6,88%","11,92%","1,29%","1,15%","0,99%","11,92%","0,00%","1,33%","2,95%","R$ 100.363.668,32","R$ 93,18",0.92,,,,,,,0
80,SNCI11,Títulos e Val. Mob.,"R$ 103,59",139540.0,"R$ 1,20","1,15%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","3,50%","4,11%","5,31%","8,09%","R$ 163.841.678,80","R$ 101,94",1.02,,,,,,,0
81,SNFF11,Títulos e Val. Mob.,"R$ 87,77",117090.0,"R$ 0,65","0,71%","2,18%","4,25%","0,00%","0,73%","0,71%","0,00%","4,77%","2,20%","2,93%","-3,75%","R$ 233.091.678,77","R$ 93,24",0.94,,,,,,,0
82,CORM11,Híbrido,"R$ 96,50",620.0,"R$ 1,06","1,04%","3,14%","6,15%","0,00%","1,05%","1,03%","0,00%","7,18%","-2,56%","-1,54%","-0,39%","R$ 87.692.661,80","R$ 95,60",1.01,,,,,,,0
83,AFOF11,Títulos e Val. Mob.,"R$ 88,00",1960.0,"R$ 0,84","0,98%","3,06%","13,60%","0,00%","1,02%","2,27%","0,00%","4,84%","4,69%","5,71%","-5,00%","R$ 72.409.198,26","R$ 104,76",0.84,,,,,,,0
84,RECX11,Outros,"R$ 92,00",80.0,"R$ 1,00","1,13%","3,25%","5,78%","0,00%","1,08%","0,96%","0,00%","8,74%","-0,38%","0,74%","-3,72%","R$ 19.427.520,87","R$ 88,99",1.03,,,,,,,0
85,BLMC11,Outros,"R$ 99,60",10.0,"R$ 1,12","1,12%","3,39%","6,37%","0,00%","1,13%","1,06%","0,00%","7,74%","0,81%","1,94%","5,56%","R$ 40.835.425,67","R$ 102,22",0.97,,,,,,,0
86,BTLG11,Logística,"R$ 105,39",300670.0,"R$ 0,72","0,68%","2,08%","4,10%","7,55%","0,69%","0,68%","0,63%","7,55%","1,54%","2,23%","-3,79%","R$ 1.522.117.934,79","R$ 99,95",1.05,,,,,,"2,00%",16
87,XPIN11,Outros,"R$ 88,26",92960.0,"R$ 0,63","0,67%","2,12%","4,09%","7,56%","0,71%","0,68%","0,63%","7,56%","4,31%","5,01%","-12,05%","R$ 786.901.110,67","R$ 110,05",0.8,,,,,"17,30%","12,00%",5
88,MCHY11,Títulos e Val. Mob.,"R$ 119,99",120.0,"R$ 1,30","1,08%","3,26%","0,00%","0,00%","1,09%","0,00%","0,00%","4,44%","1,21%","2,31%","13,50%","R$ 363.602.380,70","R$ 102,80",1.17,,,,,,,0
89,MATV11,Títulos e Val. Mob.,"R$ 97,57",1000.0,"R$ 1,20","1,21%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,21%","0,00%","1,21%","1,21%","R$ 34.289.358,69","R$ 98,74",0.99,,,,,,,0
90,ERCR11,Híbrido,"R$ 76.000,00",10.0,"R$ 1,03","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 174.398.096,11","R$ 73.399,87",1.04,,,,,,,0
91,XPML11,Shoppings,"R$ 93,60",455740.0,"R$ 0,85","0,89%","2,01%","3,74%","5,58%","0,67%","0,62%","0,46%","5,58%","1,67%","2,57%","-10,59%","R$ 1.900.259.041,51","R$ 101,72",0.92,,,,,"4,40%",,13
92,FCFL11,Outros,"R$ 111,94",18890.0,"R$ 0,82","0,73%","2,23%","4,25%","7,62%","0,74%","0,71%","0,63%","7,62%","10,38%","11,19%","6,26%","R$ 363.922.446,39","R$ 104,76",1.07,,,,,"0,00%",,1
93,ALZR11,Logística,"R$ 115,01",81240.0,"R$ 0,75","0,65%","1,87%","3,61%","6,52%","0,62%","0,60%","0,54%","6,52%","5,04%","5,72%","-6,73%","R$ 642.677.411,67","R$ 108,52",1.06,,,,,"0,00%",,15
94,ITIT11,Títulos e Val. Mob.,"R$ 72,30",660.0,"R$ 0,55","0,75%","2,13%","4,04%","0,00%","0,71%","0,67%","0,00%","5,79%","0,62%","1,38%","-7,73%","R$ 74.942.876,77","R$ 83,22",0.87,,,,,,,0
95,ITIP11,Títulos e Val. Mob.,"R$ 81,31",6080.0,"R$ 1,00","1,20%","3,40%","6,32%","0,00%","1,13%","1,05%","0,00%","9,58%","4,94%","6,20%","-8,21%","R$ 66.908.551,03","R$ 89,43",0.91,,,,,,,0
96,XPHT11,Hotel,"R$ 92,15",49010.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 330.630.764,20","R$ 86,90",1.06,,,,,"47,60%",,5
97,HTMX11,Hotel,"R$ 84,60",9490.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 157.077.737,90","R$ 124,96",0.68,,,,,"36,00%",,23
98,CCRF11,Títulos e Val. Mob.,"R$ 98,67",20.0,"R$ 1,32","1,30%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","3,19%","-0,96%","0,33%","2,23%","R$ 159.507.086,30","R$ 101,47",0.97,,,,,,,0
99,BTAL11,Outros,"R$ 95,00",81060.0,"R$ 0,83","0,87%","2,60%","4,96%","0,00%","0,87%","0,83%","0,00%","6,98%","0,77%","1,65%","-1,73%","R$ 619.008.357,28","R$ 103,47",0.92,,,,,,,7
100,MORC11,Títulos e Val. Mob.,"R$ 99,64",8800.0,"R$ 1,25","1,25%","2,50%","0,00%","0,00%","0,83%","0,00%","0,00%","2,50%","0,03%","1,28%","2,55%","R$ 79.208.257,14","R$ 101,56",0.98,,,,,,,0
101,EQIR11,Títulos e Val. Mob.,"R$ 99,80",2760.0,"R$ 1,07","1,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,07%","0,00%","1,07%","1,07%","R$ 51.382.055,69","R$ 102,25",0.98,,,,,,,0
102,FLRP11,Shoppings,"R$ 1.216,07",100.0,"R$ 8,52","0,69%","1,76%","3,10%","5,47%","0,59%","0,52%","0,46%","5,47%","3,76%","4,47%","-0,04%","R$ 108.777.317,33","R$ 1.667,55",0.73,,,,,"2,34%",,1
103,CNES11,Lajes Corporativas,"R$ 33,15",4630.0,"R$ 0,14","0,43%","1,07%","2,12%","3,31%","0,36%","0,35%","0,28%","3,31%","-4,88%","-4,47%","-35,01%","R$ 255.435.601,04","R$ 86,61",0.38,,,,,"56,70%",,1
104,EDGA11,Lajes Corporativas,"R$ 22,51",19040.0,"R$ 0,09","0,38%","1,30%","2,33%","5,99%","0,43%","0,39%","0,50%","5,99%","1,46%","1,84%","-21,34%","R$ 252.486.482,69","R$ 66,23",0.34,,,,,"49,59%",,1
105,GSFI11,Shoppings,"R$ 4,35",61240.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 1.011.611.502,01","R$ 13,45",0.32,,,,,"9,80%",,10
