,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
206,PLRI11,Títulos e Val. Mob.,"R$ 38,00",850.0,"R$ 0,20","0,52%","1,37%","2,97%","6,23%","0,46%","0,50%","0,52%","6,23%","-2,53%","-2,02%","-12,58%","R$ 41.384.472,49","R$ 43,37",0.88,,,,,,,0
207,RBHY11,Títulos e Val. Mob.,"R$ 102,83",66480.0,"R$ 1,98","1,94%","5,02%","7,66%","0,00%","1,67%","1,28%","0,00%","8,88%","1,49%","3,46%","8,59%","R$ 153.973.051,71","R$ 97,35",1.06,,,,,,,0
208,BBIM11,Títulos e Val. Mob.,,,"R$ 0,90","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 49.542.596,08","R$ 47,87",,,,,,,,0
209,EDFO11B,Lajes Corporativas,"R$ 215,00",140.0,"R$ 1,52","0,71%","2,07%","3,67%","7,02%","0,69%","0,61%","0,58%","7,02%","-4,01%","-3,33%","-7,82%","R$ 45.622.746,90","R$ 193,32",1.11,,,,,"7,10%",,1
210,VTLT11,Logística,"R$ 91,80",17620.0,"R$ 0,75","0,78%","2,35%","4,62%","8,69%","0,78%","0,77%","0,72%","8,69%","3,72%","4,53%","-10,00%","R$ 218.154.340,14","R$ 103,15",0.89,,,,,"0,00%","0,00%",1
211,GTWR11,Lajes Corporativas,"R$ 84,35",62030.0,"R$ 0,74","0,83%","2,62%","4,73%","8,52%","0,87%","0,79%","0,71%","8,52%","24,23%","25,26%","-10,18%","R$ 1.181.864.977,66","R$ 98,49",0.86,,,,,"0,00%","0,00%",1
212,HREC11,Títulos e Val. Mob.,"R$ 95,97",370.0,"R$ 1,00","1,02%","2,92%","5,04%","9,45%","0,97%","0,84%","0,79%","9,45%","1,33%","2,36%","4,55%","R$ 266.575.447,96","R$ 93,67",1.02,,,,,,,0
213,KINP11,Residencial,"R$ 14,00",7290.0,"R$ 0,18","1,35%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,35%","0,00%","1,35%","1,35%","R$ 52.276.733,66","R$ 7,31",1.91,,,,,,,0
214,WPLZ11,Shoppings,"R$ 71,74",940.0,"R$ 0,37","0,52%","1,47%","1,61%","0,00%","0,49%","0,27%","0,00%","1,61%","10,74%","11,32%","7,98%","R$ 104.862.073,94","R$ 102,73",0.7,,,,,"12,10%",,1
215,PLCR11,Híbrido,"R$ 88,50",44240.0,"R$ 1,05","1,13%","3,35%","6,22%","11,55%","1,12%","1,04%","0,96%","11,55%","12,84%","14,11%","10,23%","R$ 195.937.545,58","R$ 92,90",0.95,,,,,,,0
216,BBFI11B,Lajes Corporativas,"R$ 2.285,00",2730.0,"R$ 38,64","1,66%","4,13%","7,44%","14,29%","1,38%","1,24%","1,19%","14,29%","17,45%","19,40%","18,42%","R$ 369.184.512,49","R$ 2.839,88",0.8,,,,,"40,44%",,2
217,SARE11,Híbrido,"R$ 72,23",119490.0,"R$ 0,65","0,92%","2,71%","4,84%","8,62%","0,90%","0,81%","0,72%","8,62%","15,17%","16,23%","-19,02%","R$ 917.117.685,29","R$ 99,32",0.73,,,,,"2,10%",,3
218,RDPD11,Títulos e Val. Mob.,"R$ 56,79",210.0,"R$ 0,47","0,80%","2,44%","4,64%","8,23%","0,81%","0,77%","0,69%","8,23%","2,79%","3,62%","-25,10%","R$ 64.314.048,67","R$ 59,66",0.95,,,,,,,0
219,SADI11,Títulos e Val. Mob.,"R$ 89,90",587220.0,"R$ 0,77","0,83%","2,15%","3,72%","5,39%","0,72%","0,62%","0,45%","5,39%","11,15%","12,07%","27,10%","R$ 320.438.489,55","R$ 100,76",0.89,,,,,,,0
220,MALL11,Shoppings,"R$ 96,59",147880.0,"R$ 0,65","0,67%","2,07%","3,78%","6,83%","0,69%","0,63%","0,57%","6,83%","15,24%","16,02%","-2,20%","R$ 829.494.517,66","R$ 109,72",0.88,,,,,"2,00%",,7
221,HSML11,Shoppings,"R$ 76,20",212360.0,"R$ 0,52","0,64%","2,05%","3,90%","6,10%","0,68%","0,65%","0,51%","6,10%","16,41%","17,15%","-11,33%","R$ 1.508.445.585,89","R$ 95,59",0.8,,,,,"4,30%",,5
222,KNRI11,Híbrido,"R$ 132,43",437090.0,"R$ 0,88","0,62%","1,79%","3,32%","6,08%","0,60%","0,55%","0,51%","6,08%","11,18%","11,87%","-5,66%","R$ 3.811.917.192,28","R$ 157,80",0.84,,,,,"2,18%","7,11%",20
223,XPLG11,Logística,"R$ 98,45",449630.0,"R$ 0,64","0,63%","1,98%","3,74%","6,84%","0,66%","0,62%","0,57%","6,84%","12,74%","13,44%","-9,62%","R$ 2.972.040.961,71","R$ 109,67",0.9,,,,,"9,00%","1,20%",13
224,RZAG11,Títulos e Val. Mob.,"R$ 9,83",1975260.0,"R$ 0,08","0,85%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,85%","0,00%","0,85%","0,85%","R$ 289.545.531,50","R$ 9,54",1.03,,,,,,,0
225,MXRF11,Híbrido,"R$ 9,10",34900130.0,"R$ 0,09","0,90%","2,60%","4,87%","9,24%","0,87%","0,81%","0,77%","9,24%","0,30%","1,20%","3,34%","R$ 2.321.102.708,40","R$ 10,27",0.89,,,,,,,0
226,XPPR11,Outros,"R$ 64,10",210030.0,"R$ 0,55","0,81%","2,60%","5,00%","9,17%","0,87%","0,83%","0,76%","9,17%","14,17%","15,10%","-8,25%","R$ 602.678.994,00","R$ 82,38",0.78,,,,,"46,00%",,4
227,SPVJ11,Outros,,,"R$ 0,67","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 680.058.871,43","R$ 107,74",,,,,,,,0
228,BPFF11,Títulos e Val. Mob.,"R$ 68,69",54150.0,"R$ 0,60","0,84%","2,72%","4,98%","9,35%","0,91%","0,83%","0,78%","9,35%","17,36%","18,34%","-2,05%","R$ 358.945.822,37","R$ 79,90",0.86,,,,,,,0
229,LASC11,Shoppings,"R$ 90,00",10.0,"R$ 0,58","0,64%","1,76%","3,55%","5,99%","0,59%","0,59%","0,50%","5,99%","-0,01%","0,63%","-3,50%","R$ 283.276.103,44","R$ 112,49",0.8,,,,,"3,20%",,3
230,JPPA11,Títulos e Val. Mob.,"R$ 97,50",10850.0,"R$ 1,40","1,42%","3,81%","6,75%","12,57%","1,27%","1,12%","1,05%","12,57%","2,32%","3,77%","12,16%","R$ 63.119.237,69","R$ 104,51",0.93,,,,,,,0
231,HOSI11,Híbrido,"R$ 73,00",630.0,"R$ 0,55","0,75%","2,14%","3,84%","7,92%","0,71%","0,64%","0,66%","7,92%","-1,32%","-0,58%","-7,43%","R$ 52.996.711,07","R$ 92,42",0.79,,,,,,,2
232,HCHG11,Outros,"R$ 88,48",190.0,"R$ 0,80","0,91%","2,52%","0,00%","0,00%","0,84%","0,00%","0,00%","3,71%","-2,22%","-1,33%","-2,73%","R$ 115.467.331,86","R$ 96,22",0.92,,,,,,,0
233,HBRH11,Híbrido,"R$ 90,50",2780.0,"R$ 0,93","1,04%","3,36%","5,48%","0,00%","1,12%","0,91%","0,00%","8,21%","9,38%","10,52%","-2,98%","R$ 311.940.949,65","R$ 112,52",0.8,,,,,,,3
234,HABT11,Títulos e Val. Mob.,"R$ 111,42",161750.0,"R$ 1,30","1,18%","3,80%","7,55%","15,31%","1,27%","1,26%","1,28%","15,31%","-0,71%","0,46%","2,36%","R$ 724.348.467,47","R$ 97,59",1.14,,,,,,,0
235,SHPH11,Shoppings,"R$ 806,10",40.0,"R$ 3,90","0,49%","1,38%","2,37%","4,60%","0,46%","0,40%","0,38%","3,65%","-3,42%","-2,94%","-0,64%","R$ 542.257.564,45","R$ 890,48",0.91,,,,,"10,80%",,1
236,ABCP11,Shoppings,"R$ 74,08",15250.0,"R$ 0,58","0,83%","2,43%","4,32%","6,89%","0,81%","0,72%","0,57%","6,89%","14,10%","15,05%","-3,81%","R$ 1.122.717.873,90","R$ 92,00",0.81,,,,,"7,50%",,1
237,NEWL11,Híbrido,"R$ 102,30",42230.0,"R$ 1,30","1,31%","2,93%","5,13%","10,44%","0,98%","0,85%","0,87%","10,44%","7,32%","8,73%","3,62%","R$ 235.152.808,21","R$ 115,66",0.88,,,,,"0,00%",,2
238,SDIL11,Logística,"R$ 86,50",103880.0,"R$ 0,76","0,83%","2,62%","4,78%","8,38%","0,87%","0,80%","0,70%","8,38%","6,69%","7,58%","-4,95%","R$ 622.933.473,38","R$ 97,41",0.89,,,,,"2,60%",,5
239,RBED11,Outros,"R$ 120,00",14250.0,"R$ 1,06","0,83%","2,51%","4,75%","8,95%","0,84%","0,79%","0,75%","8,95%","4,72%","5,58%","-8,93%","R$ 285.897.124,09","R$ 141,42",0.85,,,,,"0,00%",,5
